Distance,X,Y
2447.3399999999997,183.24040068643464,11903.35339850836
2465.4545755883278,314.0,12026.0
2475.4399999999996,389.07490775617526,12090.467173321847
2479.6216138010245,421.0,12117.0
2489.125741924343,494.0,12176.0
2491.273333333333,510.34378660870067,12188.763071907535
2509.9460112697166,662.0,12296.0
2516.962222222222,735.8501349491708,12340.851326407923
2534.2259975569987,928.0,12447.0
2536.4288888888887,947.7343302033219,12457.100775938221
2563.886280568461,1139.0,12538.0
2566.1288888888885,1157.9682048447971,12545.170926762086
2580.5435637062883,1295.0,12595.0
2600.6501857516137,1486.0,12653.0
2602.9177777777772,1507.0345250377268,12658.852575088262
2614.106679318404,1616.0,12687.0
2616.3844444444444,1641.8293752392199,12692.939408083625
2633.3288888888883,1862.8350308048214,12737.613755291391
2637.83408897332,1914.0,12747.0
2657.206666666666,2072.2169512016653,12771.590021447253
2665.193802879247,2137.0,12780.0
2681.3177777777773,2295.5717016471935,12799.662060607609
2687.6188133559076,2360.0,12807.0
2703.1711905029924,2515.0,12823.0
2705.506666666666,2538.194253297127,12825.394500414859
2720.4938238485106,2687.0,12841.0
2722.9266666666663,2710.9913710016226,12843.486141638865
2736.0882637555565,2843.0,12857.0
2740.37111111111,2889.079201439894,12861.710733470114
2765.9034132462903,3191.0,12893.0
2782.4166666666656,3393.9917720323792,12915.103675794951
2799.9722222222213,3584.8486142557285,12936.332203725411
2802.788317980622,3609.0,12939.0
2817.5833333333326,3706.5702741295063,12949.666200299775
2832.6325736653807,3801.0,12960.0
2838.583333333332,3849.7736329218824,12965.414377432964
2851.9261685124998,3993.0,12982.0
2866.672222222221,4223.885196137987,13010.797711372994
2871.220471912884,4288.0,13019.0
2887.6055555555545,4441.784307934232,13039.501876531518
2908.4055555555547,4559.84641664828,13056.114578463572
2911.16726109396,4582.0,13059.0
2925.6277777777764,4723.16540550895,13076.64938391757
2931.8144504587344,4787.0,13084.0
2942.7944444444433,4896.850529404803,13095.384847168909
2948.955831583442,4958.0,13101.0
2959.849999999999,5067.173018062229,13109.689533068977
2965.9174044850465,5128.0,13113.0
2976.6277777777764,5234.119362221818,13114.977154417227
2982.637963728491,5293.0,13113.0
2997.581057793312,5438.0,13097.0
2999.883333333332,5460.12809308862,13093.33876588901
